Code	Region	Country	variable	value	region
340	Latin America and Caribbean	Honduras	1878	0.780423	Latin America and Caribean
328	Latin America and Caribbean	Guyana	1878	0.890733	#N/A
36	Western Offshoots	Australia	1878	3.2885	Western Offshoots
586	South and South-East Asia	Pakistan	1878	0.501953	South and South-East Asia
144	South and South-East Asia	Sri Lanka	1878	0.373624	South and South-East Asia
458	South and South-East Asia	Malaysia	1878	0.244771	South and South-East Asia
104	South and South-East Asia	Myanmar	1878	0.0406197	South and South-East Asia
702	South and South-East Asia	Singapore	1878	0.477363	South and South-East Asia
288	Sub-Saharan Africa	Ghana	1878	0.040339	Sub-Saharan Africa
694	Sub-Saharan Africa	Sierra Leone	1878	0.521638	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1878	0.978155	Sub-Saharan Africa
40	Western Europe	Austria	1879	3.53435	Western Europe
56	Western Europe	Belgium	1879	4.41843	Western Europe
250	Western Europe	France	1879	4.62397	Western Europe
528	Western Europe	Netherlands	1879	5.57835	Western Europe
756	Western Europe	Switzerland	1879	7.63258	Western Europe
372	Western Europe	Ireland	1879	2.28882	Western Europe
578	Western Europe	Norway	1879	5.48517	Western Europe
752	Western Europe	Sweden	1879	5.98487	Western Europe
826	Western Europe	United Kingdom	1879	1.79295	Western Europe
380	Western Europe	Italy	1879	1.96873	Western Europe
620	Western Europe	Portugal	1879	0.581829	Western Europe
724	Western Europe	Spain	1879	3.94395	Western Europe
348	Eastern Europe	Hungary	1879	2.96732	Eastern Europe
52	Latin America and Caribbean	Barbados	1879	4.30662	#N/A
388	Latin America and Caribbean	Jamaica	1879	1.6815	Latin America and Caribean
780	Latin America and Caribbean	Trinidad and Tobago	1879	1.84247	Latin America and Caribean
340	Latin America and Caribbean	Honduras	1879	0.875709	Latin America and Caribean
328	Latin America and Caribbean	Guyana	1879	0.917485	#N/A
36	Western Offshoots	Australia	1879	3.32443	Western Offshoots
586	South and South-East Asia	Pakistan	1879	0.527393	South and South-East Asia
144	South and South-East Asia	Sri Lanka	1879	0.38192	South and South-East Asia
458	South and South-East Asia	Malaysia	1879	0.25377	South and South-East Asia
104	South and South-East Asia	Myanmar	1879	0.0394327	South and South-East Asia
702	South and South-East Asia	Singapore	1879	0.495431	South and South-East Asia
288	Sub-Saharan Africa	Ghana	1879	0.0408723	Sub-Saharan Africa
694	Sub-Saharan Africa	Sierra Leone	1879	0.51591	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1879	0.960109	Sub-Saharan Africa
40	Western Europe	Austria	1880	3.62724	Western Europe
56	Western Europe	Belgium	1880	4.40125	Western Europe
250	Western Europe	France	1880	4.6633	Western Europe
528	Western Europe	Netherlands	1880	5.62071	Western Europe
756	Western Europe	Switzerland	1880	7.64841	Western Europe
372	Western Europe	Ireland	1880	2.27828	Western Europe
578	Western Europe	Norway	1880	5.48699	Western Europe
752	Western Europe	Sweden	1880	6.07364	Western Europe
826	Western Europe	United Kingdom	1880	1.85384	Western Europe
380	Western Europe	Italy	1880	1.98595	Western Europe
620	Western Europe	Portugal	1880	0.604122	Western Europe
724	Western Europe	Spain	1880	3.97511	Western Europe
348	Eastern Europe	Hungary	1880	2.99715	Eastern Europe
124	Western Offshoots	Canada	1880	6.3845	Western Offshoots
840	Western Offshoots	United States of America	1880	4.8361	Western Offshoots
52	Latin America and Caribbean	Barbados	1880	4.3483	#N/A
388	Latin America and Caribbean	Jamaica	1880	1.93247	Latin America and Caribean
780	Latin America and Caribbean	Trinidad and Tobago	1880	1.81529	Latin America and Caribean
340	Latin America and Caribbean	Honduras	1880	0.826507	Latin America and Caribean
32	Latin America and Caribbean	Argentina	1880	0.809637	Latin America and Caribean
68	Latin America and Caribbean	Bolivia (Plurinational State of)	1880	0.55029	Latin America and Caribean
76	Latin America and Caribbean	Brazil	1880	0.560396	Latin America and Caribean
152	Latin America and Caribbean	Chile	1880	0.912869	Latin America and Caribean
170	Latin America and Caribbean	Colombia	1880	0.898101	Latin America and Caribean
218	Latin America and Caribbean	Ecuador	1880	1.37386	Latin America and Caribean
328	Latin America and Caribbean	Guyana	1880	0.924219	#N/A
600	Latin America and Caribbean	Paraguay	1880	1.27627	Latin America and Caribean
604	Latin America and Caribbean	Peru	1880	0.407545	Latin America and Caribean
858	Latin America and Caribbean	Uruguay	1880	1.18956	Latin America and Caribean
36	Western Offshoots	Australia	1880	3.5248	Western Offshoots
554	Western Offshoots	New Zealand	1880	1.84561	Western Offshoots
356	South and South-East Asia	India	1880	0.0447527	South and South-East Asia
586	South and South-East Asia	Pakistan	1880	0.502126	South and South-East Asia
144	South and South-East Asia	Sri Lanka	1880	0.392252	South and South-East Asia
458	South and South-East Asia	Malaysia	1880	0.251527	South and South-East Asia
104	South and South-East Asia	Myanmar	1880	0.0542713	South and South-East Asia
702	South and South-East Asia	Singapore	1880	0.492977	South and South-East Asia
288	Sub-Saharan Africa	Ghana	1880	0.0425057	Sub-Saharan Africa
694	Sub-Saharan Africa	Sierra Leone	1880	0.511683	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1880	0.933703	Sub-Saharan Africa
40	Western Europe	Austria	1881	3.65611	Western Europe
56	Western Europe	Belgium	1881	4.42876	Western Europe
250	Western Europe	France	1881	4.74996	Western Europe
528	Western Europe	Netherlands	1881	5.59348	Western Europe
756	Western Europe	Switzerland	1881	7.67412	Western Europe
372	Western Europe	Ireland	1881	2.34222	Western Europe
578	Western Europe	Norway	1881	5.45847	Western Europe
752	Western Europe	Sweden	1881	6.15177	Western Europe
826	Western Europe	United Kingdom	1881	1.94992	Western Europe
380	Western Europe	Italy	1881	2.05576	Western Europe
620	Western Europe	Portugal	1881	0.615039	Western Europe
724	Western Europe	Spain	1881	4.03068	Western Europe
348	Eastern Europe	Hungary	1881	3.04839	Eastern Europe
124	Western Offshoots	Canada	1881	6.46188	Western Offshoots
840	Western Offshoots	United States of America	1881	4.86245	Western Offshoots
52	Latin America and Caribbean	Barbados	1881	4.48531	#N/A
388	Latin America and Caribbean	Jamaica	1881	2.03634	Latin America and Caribean
